Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,EEG Fp1         ,                                                                                ,uV      ,-58.525100,77.067440,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
2,EEG Fp2         ,                                                                                ,uV      ,-46.560200,51.023910,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
3,EEG F3          ,                                                                                ,uV      ,-48.387000,47.033920,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
4,EEG F4          ,                                                                                ,uV      ,-69.732100,62.058840,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
5,EEG F7          ,                                                                                ,uV      ,-70.376000,59.925220,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
6,EEG F8          ,                                                                                ,uV      ,-158.048000,156.372700,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
7,EEG T3          ,                                                                                ,uV      ,-48.303100,47.984560,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
8,EEG T4          ,                                                                                ,uV      ,-48.460900,52.263390,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
9,EEG C3          ,                                                                                ,uV      ,-54.893000,56.597630,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
10,EEG C4          ,                                                                                ,uV      ,-48.856700,48.287700,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
11,EEG T5          ,                                                                                ,uV      ,-33.490900,46.969470,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
12,EEG T6          ,                                                                                ,uV      ,-44.998300,46.814470,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
13,EEG P3          ,                                                                                ,uV      ,-87.248000,92.884110,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
14,EEG P4          ,                                                                                ,uV      ,-63.267400,53.548380,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
15,EEG O1          ,                                                                                ,uV      ,-60.797100,67.964070,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
16,EEG O2          ,                                                                                ,uV      ,-70.847800,56.451500,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
17,EEG Fz          ,                                                                                ,uV      ,-47.720700,50.807980,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
18,EEG Cz          ,                                                                                ,uV      ,-64.658100,69.087590,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
19,EEG Pz          ,                                                                                ,uV      ,-76.120900,74.105660,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
20,EEG A2-A1       ,                                                                                ,uV      ,-28.734700,28.427530,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
21,ECG ECG         ,                                                                                ,mV      ,-0.131030,0.423343,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
